"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,8.63133022032947,0.323,0.001,0,"Endothelial","STC1"
0,7.64419753368279,0.41,0.002,0,"Endothelial","NOTCH4"
0,7.1764383561824,0.619,0.005,0,"Endothelial","SHANK3"
0,6.85983482738889,0.485,0.005,0,"Endothelial","EGFL7"
0,6.79123992569554,0.369,0.003,0,"Endothelial","CXorf36"
0,5.32676275761972,0.345,0.008,0,"Fibroblast","FNDC1"
0,5.32628235892083,0.285,0.006,0,"Fibroblast","MIR137HG"
0,5.12457588077972,0.566,0.018,0,"Fibroblast","COL11A1"
0,5.08667484862188,0.779,0.039,0,"Fibroblast","CEMIP"
5.99983147624902e-295,4.94282639332708,0.45,0.019,1.37954125133394e-290,"Fibroblast","RP11-761N21.1"
4.1115781143267e-277,8.19050108012448,0.252,0.001,9.45375155827138e-273,"Lymphocyte","ZAP70"
0,7.14994206111826,0.329,0.003,0,"Lymphocyte","CD2"
0,6.97032373232939,0.678,0.008,0,"Lymphocyte","BCL11B"
0,6.87468955058063,0.434,0.007,0,"Lymphocyte","GRAP2"
9.34449546690753e-282,6.72015818640333,0.38,0.007,2.14857984270605e-277,"Lymphocyte","TRAC"
0,7.09913054713343,0.488,0.003,0,"Macrophage","FGD2"
0,6.54146340519222,0.348,0.002,0,"Macrophage","CSF3R"
0,6.28933962612493,0.496,0.006,0,"Macrophage","SIGLEC1"
0,6.10309828255602,0.317,0.003,0,"Macrophage","LILRB4"
0,6.02830126370304,0.643,0.01,0,"Macrophage","CD163"
1.77644810238658e-228,7.42614022067789,0.281,0.002,4.08458712181746e-224,"Pericyte","CNR1"
2.78994823514789e-239,7.18428548432619,0.438,0.005,6.41492797707555e-235,"Pericyte","ADAMTS4"
0,6.54290565691678,0.719,0.014,0,"Pericyte","CRISPLD2"
2.27024835893501e-90,5.29655551987376,0.25,0.007,5.21998205169928e-86,"Pericyte","SEMA5B"
3.63571933966822e-182,5.02833759750315,0.531,0.021,8.35960947769914e-178,"Pericyte","CLSTN2"
0,8.18324303409352,0.513,0.002,0,"Unknown1","RP11-413B19.2"
6.57964072670346e-227,7.69967656439321,0.308,0.001,1.51285679229093e-222,"Unknown1","NGFR"
0,7.32681023141891,0.538,0.003,0,"Unknown1","CYP4B1"
0,6.76762551313084,0.821,0.01,0,"Unknown1","STXBP6"
1.27341499542458e-95,6.73704337643382,0.256,0.003,2.92796309897974e-91,"Unknown1","FOXD1"
0,11.8374762390575,0.368,0,0,"Unknown2","PLA2G2A"
6.56920049783847e-148,7.89917352078145,0.421,0.002,1.510456270468e-143,"Unknown2","NFIA-AS2"
9.13735288798472e-169,7.05306930325978,0.526,0.003,2.10095154953433e-164,"Unknown2","MLXIPL"
4.09335125144777e-121,6.91151082807112,0.368,0.003,9.41184253245385e-117,"Unknown2","XPNPEP2"
4.8161685256582e-165,6.7866859708892,0.789,0.011,1.10738162910459e-160,"Unknown2","IGF1"
1.12997273952126e-257,5.07087438474343,0.456,0.017,2.59814631998124e-253,"Vascular Smooth Muscle","GRIA2"
4.1001764103919e-141,4.51079741183749,0.288,0.014,9.42753562041409e-137,"Vascular Smooth Muscle","MRAP2"
1.97604974529788e-260,4.39463924192285,0.486,0.03,4.54353117936342e-256,"Vascular Smooth Muscle","RP11-627D16.1"
1.04544151608684e-192,4.33995802268044,0.396,0.028,2.40378367793848e-188,"Vascular Smooth Muscle","SUSD5"
8.5062168921088e-136,4.32109856665087,0.299,0.021,1.95583445000258e-131,"Vascular Smooth Muscle","UNC13C"
